facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
Mary Immaculate (Kingongo),22178,Dispensaries and clinic-out patient only,Faith-Based,,,NYERI,Operating
The Agha Khan Medical Centre-Rigeways(Kiambu Rd.),22176,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Springs Health Services,22175,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Mary Immaculate (Ruringu),22174,Dispensaries and clinic-out patient only,Faith-Based,,,NYERI,Operating
TUMAINI DISC-SIAYA,22173,Basic primary health care facility,Public,,,SIAYA,Operating
Providence Medical Centre - Mathare North,22172,Basic primary health care facility,Private,,,NAIROBI,Operating
Imani 44 Medical Clinic,22171,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Mercylight  Hospital-Lucky Summer,22170,Primary care hospitals,Private,,,NAIROBI,Operating
Nelly Medical Centre,22169,Basic primary health care facility,Private,,,NAIROBI,Operating
Mulot stand alone (Bomet),22168,VCT,Christian Health Association o,,,BOMET,Operating
Rosemed clinic,22167,Dispensaries and clinic-out patient only,Private,,,KAJIADO,Operating
ST. JULIANS MEDICAL CLINIC,22166,Basic primary health care facility,Private,,,MAKUENI,Operating
AAR Nyali Heal,22165,Basic primary health care facility,Private,,,MOMBASA,Operating
Ebenezar Medical clinic,22164,Dispensaries and clinic-out patient only,Private,,,MERU,Operating
GALAXY,22162,Primary care hospitals,Private,,,ISIOLO,Operating
KIRIA-INI HEALTH CARE,22161,Dispensaries and clinic-out patient only,Private,,,MURANG'A,Operating
CFW Cheera,22160,Basic primary health care facility,Private,,,THARAKA-NITHI,Operating
Sipili maternity and nursing home (Githiga),22156,Basic primary health care facility,Private,,,LAIKIPIA,Operating
North Gate School - Koma Hill Clinic,22154,Basic primary health care facility,Private,,,MACHAKOS,Operating
SAINT GABRIEL HOSPITAL AND WELLNESS CENTER,22153,Primary care hospitals,Private,,,KERICHO,Operating
Kitololoni Catholic Dispensary,22152,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Cat,,,EMBU,Operating
ST.Bakhita Mission,22151,Basic primary health care facility,Faith-Based,,,BUNGOMA,Operating
SVG Health Care Limited,22150,Basic primary health care facility,Private,,,NAIROBI,Operating
Dr. Mazaher Hassan Jaffer,22149,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Dr. Racheal Muthoni Rukaria,22148,Basic primary health care facility,Private,,,NAIROBI,Operating
FURAHA MEDICAL CARE,22147,Dispensaries and clinic-out patient only,Private,,,KIRINYAGA,Operating
Columbia Africa Health Care Ltd,22146,Comprehensive primary health care facility,Company Medical Service,,,NAIROBI,Operating
Nyaronde(Borabu),22145,Dispensaries and clinic-out patient only,Public,,,NYAMIRA,Operating
Mailo Inya Medical Clinic,22142,Dispensaries and clinic-out patient only,Private,,,NYANDARUA,Operating
MEDICARE HEALTH- SATELITTE,22141,Dispensaries and clinic-out patient only,Private,,,NYAMIRA,Operating
Ndumberi Clinical Services,22138,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Dr Paul S Njuguna (Healthwise Medical centre Ltd),22137,Dispensaries and clinic-out patient only,Private,,,NYERI,Operating
Kimbimbi Medical Centre,22136,Dispensaries and clinic-out patient only,Private,,,KIRINYAGA,Operating
Sugubo Dispensary,22135,Dispensaries and clinic-out patient only,Public,,,KISII,Operating
Hillsway Medical Centre,22134,Dispensaries and clinic-out patient only,Private,,,KAJIADO,Operating
St. Peters Medical Centre Bulwani,22128,Basic primary health care facility,Private,,,BUSIA,Operating
Kyase Dispensary,22126,Basic primary health care facility,Public,,,MAKUENI,Operating
Mulenyu dispensary,22125,Basic primary health care facility,Public,,,MAKUENI,Operating
Kawala Medical clinic,22124,Dispensaries and clinic-out patient only,Private,,,MAKUENI,Operating
Pala Dispensary,22123,Basic primary health care facility,Public,,,HOMA BAY,Operating
Kyeeko Dispensary,22122,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Nyaroha Dispensary,22121,Dispensaries and clinic-out patient only,Public,,,MIGORI,Operating
Hayat Hospital,22117,Primary care hospitals,Private,-1.274182,36.842088,NAIROBI,Operating
Sikia dispensary,22115,Dispensaries and clinic-out patient only,Public,,,MACHAKOS,Operating
Maeta Dispensary,22113,Dispensaries and clinic-out patient only,Public,,,MIGORI,Operating
Getrudes Mathare Outreach Clinic,22112,Basic primary health care facility,Private,,,NAIROBI,Operating
Nyamagongwi Dispensary,22110,Dispensaries and clinic-out patient only,Public,,,MIGORI,Operating
Transcom Health Network Medical Centre,22109,Basic primary health care facility,Private,,,MACHAKOS,Operating
st lukes medical and diabetes cenre,22108,Basic primary health care facility,Private,,,KIAMBU,Operating
Kiambu Plains Medical Clinic,22107,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Precious care medical centre,22106,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Hope for Widows & Children Foundation  Nursing Home,22105,Basic primary health care facility,Private,,,KISUMU,Operating
Paradise Medical clinic,22097,Basic primary health care facility,Private,,,NAKURU,Operating
Chimoi Medical Centre,22096,Dispensaries and clinic-out patient only,Private,,,KAKAMEGA,Operating
Lifespan medical centre,22095,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
MAAYGO Dice,22094,VCT,Public,,,KISUMU,Operating
mara  medical clinic,22090,Dispensaries and clinic-out patient only,Private,,,NAROK,Operating
TRINITY MEDICAL CENTRE,22089,Basic primary health care facility,Private,,,NAKURU,Operating
Ziwa la ngo'mbe Health centre,22086,Basic primary health care facility,Public,,,MOMBASA,Operating
Athi Mission Clinic,22085,Dispensaries and clinic-out patient only,Faith-Based,,,KITUI,Operating
Equity Afia Buruburu,22084,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
kelonget dispensary,22083,Dispensaries and clinic-out patient only,Public,,,NAROK,Operating
Marie Stopes Kenya,22082,Dispensaries and clinic-out patient only,Private,,,KAJIADO,Operating
OBER OGUNGA DISPENSARY,22081,Basic primary health care facility,Public,,,SIAYA,Operating
Machakos Doctors' Plaza,22080,Secondary care hospitals,Private,,,MACHAKOS,Operating
Universal Family Health Services( Machakos),22079,Secondary care hospitals,Private,,,MACHAKOS,Operating
WESPRAM MEDICAL CENTRE,22078,Primary care hospitals,Private,,,SIAYA,Operating
Jaralam Medical Centre,22077,Comprehensive primary health care facility,Faith-Based,,,NAIROBI,Operating
Pongwe Dispensary,22075,Comprehensive primary health care facility,Public,,,KWALE,Operating
Dadas VCT,22074,VCT,Private,,,NAIROBI,Operating
Samawati medical Centre,22073,Basic primary health care facility,Private,,,NAIROBI,Operating
Kisharu Dispensary,22072,Dispensaries and clinic-out patient only,Public,,,KAJIADO,Operating
Kapserton Dispensary,22071,Dispensaries and clinic-out patient only,Public,,,UASIN GISHU,Operating
JOYRIDE MEDICAL CENTRE,22070,Basic primary health care facility,Private,,,NYAMIRA,Operating
Chelambut Dispensary,22069,Basic primary health care facility,Public,,,NANDI,Operating
SANIAK DISPENSARY,22066,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Galilee medical center milimani kitale limited,22065,Primary care hospitals,Private,,,TRANS NZOIA,Operating
Dunga Dispensary,22064,Dispensaries and clinic-out patient only,Public,-0.1442,34.737325,KISUMU,Operating
Tana River County Beyond Zero Clinic,22062,Basic primary health care facility,Public,,,TANA RIVER,Operating
Nyatalio Dispensary,22061,Dispensaries and clinic-out patient only,Public,,,MANDERA,Operating
Gazi Dispensary,22060,Dispensaries and clinic-out patient only,Public,,,KWALE,Operating
Alwalidayn Dispensary,22059,Dispensaries and clinic-out patient only,Faith-Based,,,KWALE,Operating
Mwachande Medical Services,22058,Basic primary health care facility,Private,,,KWALE,Operating
Munje Dispensary,22057,Dispensaries and clinic-out patient only,Public,,,KWALE,Operating
NARAMAT MEDICAL AND DENTAL CLINIC,22055,Dispensaries and clinic-out patient only,Private,,,NAROK,Operating
Caritas community hospital (Hospital),22054,Secondary care hospitals,Private,,,KIAMBU,Operating
Agakhan Medical Centre-Busia,22053,Dispensaries and clinic-out patient only,Private,,,BUSIA,Operating
Medigold,22052,Basic primary health care facility,Private,,,NAIROBI,Operating
Shiraz Dispensary,22050,Dispensaries and clinic-out patient only,Public,,,KWALE,Operating
Deviruco Medical Centre,22049,Dispensaries and clinic-out patient only,Private,,,BUSIA,Operating
Nairutia Medical Clinic,22048,Basic primary health care facility,Private,,,NYERI,Operating
Smile Medical Clinic,22047,Basic primary health care facility,Private,,,NYERI,Operating
Alliance community medical centre,22045,Dispensaries and clinic-out patient only,Private,,,MIGORI,Operating
Hope Eastwards Medical Services (Kikuyu),22043,Basic primary health care facility,Private,,,KIAMBU,Operating
Nyangori dispensary (Masaba north),22042,Basic primary health care facility,Public,,,NYAMIRA,Operating
Neemma Medical clinic,22041,Basic primary health care facility,Private,,,KILIFI,Operating
Hope Cure Medical Clinic,22040,Basic primary health care facility,Private,,,THARAKA-NITHI,Operating
Kiburuti Dispensary,22038,Basic primary health care facility,Public,,,NYANDARUA,Operating
Mikeu Dispensary,22035,Dispensaries and clinic-out patient only,Public,,,NYANDARUA,Operating
Nairobi County Beyond Zero Clinic,22030,Basic primary health care facility,Public,,,NAIROBI,Operating
Domiciliary Health Care Medical Clinic,22027,Dispensaries and clinic-out patient only,Private,,,BUNGOMA,Operating
Musumaa Disp,22026,Dispensaries and clinic-out patient only,Public,,,MACHAKOS,Operating
SILIBWET YOUTH CENTRE,22025,VCT,Faith-Based,,,BOMET,Operating
Kanco wellness centre Mariakani,22024,Basic primary health care facility,Public,,,KILIFI,Operating
Chebu healthcare services ltd,22023,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
KABUNGUT DISPENSARY,22022,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Norman Munyiri Medical Clinic,22021,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Exodan Medical clinic,22020,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
St James medical centre and health servics,22019,Basic primary health care facility,Private,,,KIAMBU,Operating
Kenya Airways Pride Clinic,22018,Dispensaries and clinic-out patient only,Public Institution,,,NAIROBI,Operating
Kamuchege Dispensary (Mirangine),22017,Basic primary health care facility,Public,,,NYANDARUA,Operating
St  Francis  Health services,22014,Comprehensive primary health care facility,Private,-1.254862,36.859168,KIAMBU,Operating
COSMOS MEDICAL CLINIC,22013,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
MOFA-AFYA,22011,Basic primary health care facility,Private,,,NAIROBI,Operating
Kayuyu Dispensary,22006,Dispensaries and clinic-out patient only,Public Institution,,,MURANG'A,Operating
Kimkan Hospital,22005,Primary care hospitals,Private,,,MURANG'A,Operating
Chebukutumi Dispensary,22003,Basic primary health care facility,Public,,,BUNGOMA,Operating
Annex loc.Medical clinic,22002,Dispensaries and clinic-out patient only,Private,,,LAIKIPIA,Operating
ABRAR HEALTH SERVICES-BANISA,21999,Comprehensive primary health care facility,Private,,,MANDERA,Operating
Jope Medical Clinic,21998,Basic primary health care facility,Private,,,MOMBASA,Operating
Lifesprings Health Care,21996,Comprehensive primary health care facility,Private,,,MACHAKOS,Operating
Mumui Dispensary (Githioro),21995,Basic primary health care facility,Public,,,NYANDARUA,Operating
Galaxy medicare consultants ltd,21992,Basic primary health care facility,Private,,,KIAMBU,Operating
Kwale Medicare Center,21991,Basic primary health care facility,Private,,,KWALE,Operating
Dima Mwangaza Clinic,21989,Dispensaries and clinic-out patient only,Faith-Based,,,KWALE,Operating
Haradhaal Medical Centre,21988,Basic primary health care facility,Private,,,MACHAKOS,Operating
Pearl Medicare Clinic,21987,Basic primary health care facility,Private,,,MACHAKOS,Operating
Family Health Optons,21986,Dispensaries and clinic-out patient only,Public,,,HOMA BAY,Operating
Njogu-ini Medical servics,21985,Basic primary health care facility,Private,,,MACHAKOS,Operating
Imani Medical Clinic Gachie,21984,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Medicross Limited Medical Clinic,21983,Basic primary health care facility,Company Medical Service,,,MACHAKOS,Operating
ST. ANN HOSPITAL,21982,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
AAR HEALTH CARE RUAKA,21981,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Kamayech,21977,Dispensaries and clinic-out patient only,Public,,,WEST POKOT,Operating
GEDMED MEDICAL CENTER AND NURSING HOME,21972,Secondary care hospitals,Private,,,SIAYA,Operating
Kifables Chemist,21971,Pharmacy,Private,,,MERU,Operating
Munje Chemist,21970,Pharmacy,Private,,,MERU,Operating
Mwanika dispensary,21969,Dispensaries and clinic-out patient only,Public,,,MERU,Operating
Marathi dispensary,21968,Dispensaries and clinic-out patient only,Public,,,MERU,Operating
St James Opticals Clinic,21967,Dispensaries and clinic-out patient only,Private,,,BUNGOMA,Operating
survivors organization clinic,21966,Dispensaries and clinic-out patient only,Public,,,BUSIA,Operating
Holy Rosary Health Centre,21965,Basic primary health care facility,Kenya Episcopal Conference-Cat,,,TRANS NZOIA,Operating
Kimurgoi Dispensary,21962,Dispensaries and clinic-out patient only,Public,,,UASIN GISHU,Operating
OREDHO HEALTH CENTRE,21961,Comprehensive primary health care facility,Public,,,HOMA BAY,Operating
St Padre Pio Medical and Surgical Centre,21960,Basic primary health care facility,Private,,,BUNGOMA,Operating
Chobosta Dispensary,21958,Dispensaries and clinic-out patient only,Public,,,UASIN GISHU,Operating
Segero Central Dispensary,21957,Dispensaries and clinic-out patient only,Public,,,UASIN GISHU,Operating
Chepterit Dispensary,21956,Dispensaries and clinic-out patient only,Public,0.227843,35.144344,UASIN GISHU,Operating
Rayaan Hospital,21955,Secondary care hospitals,Private,,,KAJIADO,Operating
Kahuhia Girls School Dispensary,21954,Basic primary health care facility,Private,,,MURANG'A,Operating
Gaceuni dispensary,21951,Dispensaries and clinic-out patient only,Public,,,THARAKA-NITHI,Operating
Eluanata Dispensary,21950,Basic primary health care facility,Public,,,KAJIADO,Operating
Rukindu  Dispensary,21949,Basic primary health care facility,Public,,,THARAKA-NITHI,Operating
Kitabisi Dispensary,21943,Dispensaries and clinic-out patient only,Public,,,BUNGOMA,Operating
SCAN LAB KITENGELA LIMITED,21941,Basic primary health care facility,Company Medical Service,,,KAJIADO,Operating
Makanyanya Dispensary,21940,Basic primary health care facility,Public,,,THARAKA-NITHI,Operating
KYANZASU DISPENSARY,21939,Dispensaries and clinic-out patient only,Public,,,MACHAKOS,Operating
KITANGA DISPENSARY,21938,Dispensaries and clinic-out patient only,Public,,,MACHAKOS,Operating
Mbuvori Prime,21937,Dispensaries and clinic-out patient only,Private,,,EMBU,Operating
FRANKMART MEDICAL CENTRE,21936,Dispensaries and clinic-out patient only,Private,,,MACHAKOS,Operating
Wajir East  nomadic clinic,21932,Dispensaries and clinic-out patient only,Public,,,WAJIR,Operating
Medlink Clinic,21931,Blood Bank,Private,,,MIGORI,Operating
Gods Favour CNS,21930,Dispensaries and clinic-out patient only,Private,,,NYERI,Operating
Kapkaremba Dispensary,21929,Basic primary health care facility,Public,,,WEST POKOT,Operating
Chesra Dispensary,21928,Basic primary health care facility,Public,,,WEST POKOT,Operating
BEYOND ZERO MOBILE CLINIC,21926,Dispensaries and clinic-out patient only,Public,,,GARISSA,Operating
Afya International Hospital,21925,Primary care hospitals,Private,,,KILIFI,Operating
Romkan Medical Cetre,21923,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
JUMUIA HOSPITALS KAKAMEGA,21922,Dispensaries and clinic-out patient only,Faith-Based,,,KAKAMEGA,Operating
