facility_name,facility_code,facility_type,latitude,longitude,admin1,status,ownership,country,data_source,coordinate_valid,open_date,open_year,uid,admin2,zone,coordinate_source,ownership_detail,catchment_population,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
Riverview Hospital And Maternity,23434,Nursing and Maternity Home,-1.298733,36.902276,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Reuben Health Centre (Gok),28432,Comprehensive Health Centre,-1.3177593,36.8729827,Nairobi,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Maeta Dispensary,22113,Dispensary,-1.21859,34.65622,Migori,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kugitimo Health Centre,13723,Basic Health Centre,-1.23461,34.68991,Migori,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Forthall Memorial Hospital Limited,28553,Medical Center,-0.9779985,37.0958425,Muranga,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mothersolbrit Nursing Home,21467,Nursing Homes,-1.30636,34.61594,Migori,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Nyamaranya Dispensary,13898,Dispensary,-1.26684,34.53846,Migori,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Tisinye Health Centre,14149,Basic Health Centre,-1.24648,34.56746,Migori,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Girigiri Dispensary,16665,Dispensary,-1.28704,34.68194,Migori,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kemakoba Dispensary,20247,Dispensary,-1.23979,34.62235,Migori,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
