facility_name,facility_code,facility_type,latitude,longitude,admin1,status,country,ownership,data_source,coordinate_valid,open_date,open_year,uid,admin2,zone,coordinate_source,ownership_detail,catchment_population,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
Fpam,LL040410,Health Post,-11.4026067,34.0020121,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kawale FPAM,LL040411,Clinic,-13.99076,33.79949,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mtengowanthenga,DA020412,Hospital,-13.6714609,33.7762569,Central East Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Fulirwa,KA150413,Health Centre,-10.44772,34.11211,North Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Gaga,CK270414,Health Centre,-15.80678,34.36487,South East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kachi,LL040415,Clinic,-13.94267,33.77807,Centrals West Zone,Non-functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ganya,NT120416,Health Centre,-14.60964,34.61808,Centrals West Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Gateway Dispensary,BT240417,Dispensary,-15.804572,35.017828,South East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Gatrad Mahomed I,BT240418,Hospital,-15.78707,35.00625,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Gawanani,MC190419,Health Centre,-15.2238,35.20293,South West Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
